,HybridLLM_cluster,NaiveLLM_cluster,NaiveLLM_score,HybridLLM_score,PC1,PC2,priority_cluster
B2M,Fail,4,0.5999999999999999,,,,
ELAVL1,3,3,0.6499999999999999,0.7,,,
IL12B,Fail,3,0.6749999999999999,,,,
NLRP12,Fail,4,0.6375,,,,
CCL18,Fail,4,0.5999999999999999,,,,
STAT2,3,5,0.55,0.7,,,
AGER,3,1,0.85,0.575,,,
SELPLG,Fail,3,0.725,,,,
PIK3R1,3,5,0.5375,0.7,,,
FCGR1A,3,2,0.7999999999999999,0.7,,,
STK4,4,5,0.5375,0.3,,,
A2M,Fail,3,0.6874999999999999,,,,
ZC3H12A,4,2,0.7625,0.3,,,
ANGPT1,2,1,0.8875,0.8,,,
IFI44L,4,4,0.5874999999999999,0.3,,,
CD40LG,1,3,0.6749999999999999,0.9142857142857143,4.271177990315726,0.6239129291451753,1.0
LTF,3,3,0.725,0.65,,,
PTPN2,4,5,0.5,0.3,,,
CBLB,Fail,5,0.44999999999999996,,,,
ATF4,4,4,0.5999999999999999,0.3,,,
PTGS1,Fail,4,0.5999999999999999,,,,
IRF7,4,4,0.6375,0.3,,,
PIK3CD,Fail,4,0.5874999999999999,,,,
STIM1,Fail,5,0.5,,,,
NCF2,4,3,0.6625000000000001,0.3,,,
MAP2K3,4,5,0.5,0.3,,,
HPSE,2,2,0.8125,0.825,,,
TNFRSF12A,Fail,5,0.5,,,,
WAS,4,5,0.475,0.3,,,
OSM,4,1,0.85,0.3,,,
TGFB1,2,1,0.85,0.76,,,
F2R,Fail,1,0.85,,,,
PTX3,1,1,0.9571428571428571,0.9400000000000001,0.8050959361150323,-4.611265869562539,1.0
TNFAIP3,3,2,0.7999999999999999,0.7,,,
VAV1,Fail,5,0.44999999999999996,,,,
CECR1,Fail,3,0.6874999999999999,,,,
CEACAM1,3,4,0.6375,0.7,,,
CTLA4,2,5,0.5,0.8799999999999999,,,
XBP1,4,3,0.725,0.3,,,
MICB,Fail,5,0.55,,,,
CD274,3,2,0.7625,0.7,,,
LAIR1,4,5,0.55,0.3,,,
MIR21,3,1,0.85,0.5,,,
KLF4,2,3,0.6749999999999999,0.7666666666666666,,,
FOXO1,4,3,0.6874999999999999,0.3,,,
ATG7,1,3,0.6874999999999999,1.0,-5.421386033437022,-0.5649871602366421,3.0
IFI27,4,3,0.6749999999999999,0.3,,,
ANXA1,2,2,0.8125,0.7999999999999999,,,
IRF1,2,2,0.7625,0.85,,,
SELP,Fail,2,0.8125,,,,
CCL3,3,2,0.8125,0.7,,,
TYROBP,Fail,4,0.5874999999999999,,,,
IL6ST,4,3,0.6874999999999999,0.3,,,
CASP9,Fail,5,0.55,,,,
IL2RB,2,5,0.5,0.85,,,
GBP2,3,5,0.5,0.7,,,
AOAH,Fail,4,0.625,,,,
ESM1,4,1,0.8875,0.3,,,
CARD8,4,5,0.55,0.3,,,
SIRT3,1,4,0.5999999999999999,1.0,-0.08425278798180891,1.7824961374090962,2.0
LPCAT2,1,3,0.725,1.0,-7.227817937904485,0.6811528350656748,3.0
MYLK,4,3,0.725,0.3,,,
IFI44,Fail,5,0.5,,,,
ADM,1,1,0.925,1.0,3.963107377215847,-6.813623342412025,1.0
ANGPT2,1,1,1.0,0.9571428571428571,6.585008384183595,-7.087592887026634,1.0
CFD,Fail,3,0.6499999999999999,,,,
ITGAM,1,1,0.8875,1.0,-9.503337777872757,-1.0464014953246439,3.0
FCAR,4,5,0.5,0.3,,,
IL8,2,1,0.925,0.85,,,
SPP1,3,2,0.8125,0.5,,,
CCL2,2,1,0.8875,0.7666666666666666,,,
GRN,Fail,4,0.6375,,,,
PROC,1,1,0.9625,1.0,-7.652920532110431,-7.423376712783061,4.0
RETN,1,1,0.875,1.0,-0.08861220266220471,6.492437592102881,2.0
CD24,3,1,0.925,0.7,,,
FGL2,4,1,0.8875,0.3,,,
MIR223,2,1,0.8875,0.8999999999999999,,,
NFE2L2,Fail,1,0.8875,,,,
THBD,1,1,1.0,1.0,3.82660869251729,2.8328124405980444,2.0
