ID,Aggregate number,Module title,Member genes
M13.9,A3,Gene transcription,"ADAT1, ADNP2, AKAP8, ALG6, ALS2, ANKHD1, ANKRD10, AP4E1, APTX, ARL5A, ATG16L1, ATG16L1, ATP11C, ATP2A2, BFAR, BRPF1, C10ORF137, C10ORF6, C13ORF23, C16ORF56, C5ORF37, CASP2, CBR4, CCDC77, CDC2L5, CEBPG, CEP192, CGGBP1, CHCHD7, CNOT6, CSTF3, CTCF, DDX46, DHFRL1, DHPS, DHX15, DHX33, EHD4, EIF2S3, EPM2AIP1, ERP27, FAM152A, FLJ20323, FNTA, GALNT11, GNPTAB, HNRNPD, HS.126768, HS.19339, HS.294103, HS.538259, HSPA14, KIAA0141, KIAA1191, KIAA1737, KIF13B, KRIT1, LOC400657, LOC650215, MFSD8, MTMR9, MTRR, MUS81, NCOA5, NHLRC3, NONO, NPC1, NRIP1, PDCD6IP, PI4KAP2, PIGA, PIP3-E, PPWD1, PTBP2, RARS2, RBM4B, RHOT2, RWDD4A, S100PBP, SEC22C, SEC23IP, SFRS12, SFRS2, SKP2, SLC46A3, SMAP1, SR140, TBCE, TFCP2, TMEM77, TRAM1, TXNDC10, UBE3C, UTP14C, WDR7, WDSUB1, ZNF189, ZNF318, ZNF451, ZNF518B"
M13.10,A2,Protein synthesis,"ABCF1, ABL1, ADNP, ADPRHL2, ALAD, ALKBH6, AP1B1, ASB1, ATPAF1, ATPBD1B, AYP1P1, BCL2L12, BLCAP, C12ORF62, C16ORF44, C16ORF53, C18ORF37, C1ORF123, C1ORF2, C1ORF50, C1ORF77, C20ORF27, C2ORF42, C6ORF136, CHCHD4, CLPP, CTNNBL1, CXORF40A, DPAGT1, DYNC1I2, EIF5B, ETFB, FAM116B, FLJ11286, GMDS, GTF3C6, HMG1L1, HSCB, ILVBL, KCTD21, KIAA0194, KIAA0859, LCMT1, LOC389137, LOC728564, LRRC47, MCTS1, MED29, MIF4GD, MRPL20, MRPL22, MRPL27, MRPL36, MRPS11, MRPS16, MTA2, MYL6B, NPSR1, NUPL2, PDHA1, PLEKHA9, PMM1, PRDM4, PSMC3, RABEPK, RBM4, RNF113A, RUSC1, SARS, SLC2A6, SNAPC4, SPHK2, STK25, STT3A, STX8, TATDN2, THOC4, TIMM22, TMEM189, TMEM69, TMEM93, TOR3A, TP53I13, TRAF3IP2, TRMT1, TSSC4, U2AF1L2, VARS2, ZFAND2A, ZNF362, ZNF511"
M13.11,A26,TBD,"ACTG1, ADIPOR2, ALDH9A1, ARD1A, ARF4, ATP6AP2, ATP6V1E1, ATP6V1F, C14ORF147, C15ORF24, C9ORF156, C9ORF6, CALM2, CAMLG, CD2BP2, CDC26, CLTB, COMMD5, COPA, DCTN2, DDA1, DERA, DNASE2, DUSP22, DUSP23, ELMO2, FADD, GLTP, GMFB, GOLGA7, GSTO1, GTF2B, H2AFZ, HCP5, HEXB, LOC645317, LOC729466, LOC729776, LSM10, MAPRE1, MED28, MGC13379, MRLC2, MTCH1, NEDD8, NIPA2, NPC2, NSF, PDCD6, PEF1, PHF13, PPP2CA, PPP2CA, PPP2R2D, PPP6C, PSMC1, RAB10, RAB9A, RFXANK, RNF181, RNF7, RRAGA, SDHB, SEC11A, SELT, SFRS9, SKP1A, SLC35A2, SMUG1, SUCLG1, TBCC, THAP1, TM2D3, TMBIM4, TMEM59, TUBA1B, UNC50, VDAC3, WDR20"
M13.12,A35,Inflammation,"ACSL1, ADM, AIM2, ALPL, ANXA3, B4GALT5, C16ORF57, C19ORF59, C5ORF32, CA4, CEACAM1, CEACAM1, CLEC4D, CST7, DSC2, DYSF, F5, FCGR1A, FCGR1B, FOLR3, GYG1, HIST2H2AA3, HIST2H2AC, HK3, HPSE, HS.150808, HS.407903, IL18R1, IL18RAP, IL1RN, IRAK3, KCNJ15, KLHL2, LILRA5, LIMK2, LIN7A, LMNB1, LOC153561, LOC440731, LOC648984, LOC728519, MMP9, NLRC4, PFKFB3, PGS1, PROK2, RGL4, S100A12, SIGLEC5, SIPA1L2, SLC22A4, SLC22A4, SLC26A8, TLR5, TNFAIP6, VNN1, ZNF438"
M13.13,A2,Gene transcription,"ACAT2, ALG5, ALG8, ARPC5L, ATP5A1, ATP5C1, BOLA2, BOLA3, BOLA3, C14ORF166, C16ORF33, C6ORF129, C7ORF24, CCDC34, CCT7, CKS1B, COMMD1, COX5A, CUL1, CYCSL1, DDX39, DNAJB9, HNRNPAB, HNRNPAB, HNRNPD, HNRPA2B1, HSPE1, ICT1, LOC134997, LOC341457, LOC652595, LOC653505, LYAR, MIF, MRPL39, MRPS21, MRPS28, MTX2, NDUFA12, NDUFAB1, NOL5A, NOLA1, NOLA2, PGRMC2, PPA1, PRIM1, PSMA3, PSMD14, RANBP1, RANBP1, RPA3, RPL26L1, SHFM1, SSB, SYNCRIP, TCEB1, TXNL2, UCHL3, UTP11L, XTP3TPA, YWHAQ"
M13.14,A2,Proteolysis,"AKR1A1, ATP1B3, ATP1B3, C16ORF61, C2ORF28, CASP3, CBLL1, CCDC32, CCDC53, CCDC59, CCDC90B, CDC16, CISD1, CLDND1, CLDND1, CNIH, COMMD3, CPSF3, CRBN, CWC15, DAP3, DDOST, DHRS4, DIABLO, EIF2B4, EIF4A3, FAM96B, FIBP, FYTTD1, GGPS1, GRSF1, HAVCR2, HSPA4, IGBP1, LOC653566, LSM3, MED6, MGST3, MITD1, MRPL18, MRPL51, MRPS22, MYCBP2, NARS, PMPCB, PPP2R5E, PRDX1, PROSC, PSMA5, PSMB2, PSMC2, PSMD7, PTPLB, SCARB2, SDHD, SELS, SF3B5, SNRPB2, STOML2, SUB1, SYVN1, TCP1, TDG, TFG, TIMM23, TMED9, TMEM85, TRAPPC4, TRIM4, TSPYL1, USO1, XPO1, YWHAG, ZBTB33"
M13.15,A32,Gene transcription,"ALDH3B1, APLP2, ARSD, ATG2A, ATXN7L3, BAT5, C7ORF43, CALCOCO1, CAPZB, CHMP1A, CNOT3, CNPY3, DBNL, DEDD, DGCR2, DNM2, EGLN2, FHOD1, FLII, GARNL4, GDI1, GMIP, GNAI2, GNG5, GRK6, HS1BP3, HSPA1L, IHPK1, KIAA0319L, KIAA0323, KIAA0913, KIAA2013, MAGMAS, MAP1S, MAP3K11, MED12, MGAT1, MGRN1, MID1IP1, MID1IP1, MKL1, MLF2, MLL4, MYH9, MYO9B, NR1H2, OGFR, PACS1, PKM2, PLEKHM1, POLR2A, PPP1R10, PPP1R14B, PTK2B, PTPN6, RAB27A, RAB43, RABAC1, RALY, RBCK1, RENBP, RHBDD2, RHBDD2, RNF40, SCYL1, SIPA1, SP2, STK10, SYTL3, TOLLIP, TRIOBP, TRPC4AP, TSC22D4, UBE1, UNC93B1, UPF1, VPS37B, XKR8"
M13.16,A35,Cytokines/chemokines,"ALPK1, AQP9, BASP1, BCL6, BTNL8, CASP4, CASP5, CR1, CREB5, CSF2RB, FBXL13, FFAR2, FPR2, GK, GK, GPR109A, GPR109B, GPR97, GPR97, GPR97, IL8RB, KCNJ15, KCNJ2, KRT23, LIMK2, LOC641710, LOC642103, LOC642684, LOC652578, LOC728417, LOC728417, LRG1, MAK, MCTP2, MGAM, NAMPT, NCF4, NSUN7, PYGL, RNF149, SLPI, STEAP4, TLR6"
M13.17,A28,Interferon,"ACTA2, ADAR, ADAR, CASP1, CHMP5, CHMP5, DTX3L, GBP2, HS.489254, IFI16, IFITM1, IL1F7, IRF9, LGALS9, NOD2, NT5C3, NT5C3, PARP9, PHF11, PHF11, PSMB9, RNF213, SAMD9, SHISA5, SP100, SP110, SP110, SP110, SP110, STAT2, TAP1, TDRD7, TMEM140, TRAFD1, TRIM21, UBE2L6, ZC3HAV1, ZNFX1"
M13.18,A1,B cells,"ADCK2, ANKRD46, ANXA6, ARL1, ATF7IP2, B3GALT6, BXDC2, C11ORF46, C19ORF12, C21ORF2, C3ORF26, C4ORF27, CCDC76, CD4, CLDND2, CSRP2BP, CSTF3, DPP7, ENTPD6, EXOSC5, FAF1, FLJ12949, FUT8, GOT1, GPR114, H2AFY2, HNRNPU, ITM2C, KLHDC4, KTELC1, LOC388564, LOC644422, LOC653479, LRPPRC, LTBP3, MALT1, MIB2, MRPL1, MRPS12, MRPS26, MUM1, NAPSA, NPIP, NUDT14, PAAF1, PAOX, PDCL3, PDCL3, PELP1, PEMT, PFAS, PHF14, PHYH, PLEKHA1, PNPLA7, POLR1C, POLRMT, PPIE, PPIE, PRMT1, QSOX2, RAI1, RPP40, RRAS2, SAAL1, SETBP1, SETMAR, SH3PXD2A, SLC25A43, SUV39H1, TBC1D4, TFB2M, TMEM116, TMEM99, TOP1MT, TRIAP1, TRMT11, TSHZ1, TSPAN3, TULP4, UFM1, WDR36, XPO4, ZBTB9, ZMYM1, ZNF17, ZNF32, ZNF337, ZNF559, ZNF827"
M13.19,A30,Protein phosphorylation,"MARCH6, AKAP13, ASXL2, BAG4, BANP, BAZ1A, C14ORF102, C1ORF108, C1ORF71, C5ORF41, CARS, CCNY, CEP350, COL4A3BP, DCUN1D1, DNAJB14, DNAJB14, ENTPD4, EP300, FAM101B, GMCL1, GRB2, HS.440088, HS.516646, HS.573541, IFNAR2, ISG20L2, KCTD12, KRCC1, LRRCC1, MAP3K5, MARK2, MSL3L1, NFIC, NUFIP2, OSBPL1A, PDPK1, PIK3CG, PLEKHB2, PLEKHB2, PPTC7, PRPF40A, RAD21, RBM12B, RBM39, RHOQ, RYBP, SESTD1, SGK3, SNTB2, SRPK2, TAOK1, THOC2, TRA2A, TXNDC13, UGCG, UGCGL1, UPF2, USP33, ZBTB43, ZNF12, ZNF148, ZNF281, ZNF641, ZNF654"
M13.20,A29,Cell cycle,"ANKFY1, ANKRD44, C14ORF82, C15ORF28, C22ORF34, C4ORF29, CES2, CTAGE5, DKFZP434K191, ERGIC1, FLJ12078, GSDML, HS.131087, HS.143018, HS.184721, HS.193767, HS.22689, HS.352677, HS.370503, HS.443185, HS.540965, HS.545935, HS.549989, HS.550293, HS.551143, HS.570343, HS.574671, KIAA0492, KIAA1618, LOC158301, LOC284757, LOC402176, LOC440345, LOC650128, LOC650546, LOC653158, LOC728653, MGC12760, POGZ, PPM1B, PRO0628, RAD51, RBM3, RUNDC2C, SOLH, TFAP2A, ZNF93"
M13.21,A2,Cytotoxic lymphocytes,"AUTS2, CD8A, CD8A, CTSW, CX3CR1, FASLG, FEZ1, FLJ20699, GFI1, GNLY, IFNG, KIAA1671, KLRG1, LAG3, MATK, MCOLN2, MLH3, MMP23B, NCALD, NCALD, PRSS23, PYHIN1, PYHIN1, PYHIN1, SAMD3, SAMD3, SAMD3, SAMD3, SYTL2, SYTL2, TARP"
M13.22,A35,Neutrophils,"ACSL4, ADAM8, AGTPBP1, APBB1IP, BCL3, BRI3, C1RL, C5AR1, C6ORF166, CD58, CDA, CHSY1, CPD, CYB5R4, DENND3, DUSP1, EIF4E3, FCGR2A, FCGR2A, FCGR3B, FGR, FLJ20273, FPR1, GRINA, HCK, HSPA1A, IFNAR1, IL8RA, IMPA2, KIAA0247, KIAA1600, KIAA1754, LAMP2, LAT2, LITAF, LOC399744, LOC401357, LOC729021, LOC730820, LY96, MTMR3, N4BP1, NCF4, NFE2, NLRP12, NPL, NPL, NUMB, PGCP, PPP4R1, PSCD4, RALB, REPS2, RNF13, RNF149, RNF24, S100A11, SDCBP, SEPX1, SLC11A1, SOD2, SORL1, SPI1, SPI1, SRPK1, STX11, TRIB1, VNN2"
M13.23,A3,TBD,"ACSL5, ADD3, ANKRA2, ANKRD12, ATXN2, BCLAF1, BTAF1, C19ORF6, C1ORF218, C20ORF11, C7ORF47, CCNG1, CCT6AP1, CERK, CERK, CHD9, CHKB, CLASP1, CLINT1, CMPK1, CROP, CTGLF3, DHX16, EIF2B4, EML3, EWSR1, EWSR1, FAM111A, FAM38A, GLUD1, HARS2, HDAC2, HSH2D, HTR2A, KIAA0528, KIAA2010, LEMD3, LOC729843, LZTR1, MCM3AP, NECAP2, NGLY1, NISCH, NOL8, NSUN2, ORMDL1, OSBP, PCM1, PITPNM1, PLEKHO1, PNN, POGK, POLR3C, PRPF3, PTGER4, RASA1, SCAMP1, SENP7, SGSM2, SLTM, SMC4, SPECC1L, TIAF1, TMC6, TMEM181, TPR, TRPV2, TSC22D2, TSPAN32, U2AF2, UBP1, UBXD8, UTP6, VGLL4, VHL, WDR37, XPC, XPNPEP1, ZBED5, ZC3HAV1, ZNF700"
M13.24,A24,TBD,"ADRM1, ANAPC11, ASMTL, ATP5I, ATPIF1, C14ORF2, C20ORF116, C9ORF119, C9ORF23, CBX4, CES2, CHCHD5, CLPTM1L, COMMD4, COMMD9, COQ9, CUEDC2, CYB561D2, DDIT4, DPM3, DUSP28, EIF4E2, EIF6, ERGIC3, FAM125A, FAM127A, FASTKD5, FBXL15, GNPDA1, GPI, GRWD1, HNRNPUL2, INTS12, INTS4, KDELR1, LOC642031, LOC728006, MAPBPIP, MEA1, MFAP1, MFSD5, MRPS11, NDUFA7, OBFC1, PARL, PHF5A, PIGS, PIGT, PNKP, POLD4, PRKCSH, RANBP3, RNH1, RRAS, RUNX1, SCAND1, SF3A1, SPAG7, SRPR, SSNA1, STUB1, STUB1, TFIP11, TRADD, TUBGCP2, UQCRC1, WDR8, YME1L1, YRDC, ZCCHC17, ZFYVE21"
M13.25,A32,Protein phosphorylation,"ACADVL, ANXA2, AP1S2, ARHGAP15, ATG3, AZIN1, C20ORF111, C2ORF25, C2ORF25, C6ORF62, CD46, CHMP1B, CLK1, CREBBP, CRLF3, DCP2, DEGS1, DIP2B, DOCK8, ELF2, ELOVL5, EVI2A, FAM63A, FBXO33, GMPR2, GNA13, HEBP2, HS.296031, HS.348514, HS.561747, HSD17B12, ITGB1, JMJD1C, KIAA0240, KIAA1012, LIMS1, LOC284988, LOC606724, LRMP, MAP2K1IP1, MARCH7, MFSD1, MKNK2, MTPN, MYLIP, MYST3, NAGK, NMI, NPTN, PAIP2, PAN3, PANK2, PAPD4, PAPOLA, PCMT1, PDPK1, PJA2, PPP2R3C, PPP2R3C, RAB8B, ROD1, ROD1, SEPT2, SFT2D1, SH3KBP1, SPTLC1, STAG2, STAT5A, TM9SF2, TOR1AIP1, TRIM8, TSC22D3, TSG101, UBQLN2, VPS37C, WAC, WASPIP, XRN1, YPEL5, YWHAH, ZNF217, ZYG11B"
M13.26,A37,Oxidative stress,"AP2A1, ATP6V0C, BMP2K, C16ORF35, C19ORF22, C2ORF24, C9ORF78, CCDC23, CREG1, EIF2AK1, ELOF1, FAM100A, FOXO4, FURIN, GABARAPL2, GCLC, GPX1, H1F0, HDGF, ISCA1, ISCA1, LYL1, MAF1, MKRN1, NINJ2, NP, PIM1, PINK1, PNPLA2, PRR6, PSMF1, RFESD, RNF123, RNF14, STK33, STOM, SYT15, TERF2IP, TFDP2, XPO7, YPEL3"
M13.27,A1,B cells,"CD247, CD247, CD3D, CD3D, CD5, CD6, CD96, CD96, DKFZP761P0423, FAIM3, GIMAP5, HS.534427, HS.554324, HS.560343, IL7R, KIAA1147, KLF12, LBH, LCK, LEF1, LRFN3, LY9, MAP4K1, PLEKHA1, PTPN4, PVRIG, SBK1, SH2D1A, SKAP1, SKAP1, SPOCK2, TNFRSF25, TRAF5, TRAT1, UBASH3A, ZAP70, ZNF831"
M13.28,A1,Protein synthesis,"EEF1A1, LOC387841, LOC389435, LOC401019, LOC401019, LOC401206, LOC402057, LOC440733, LOC441034, LOC642210, LOC650276, LOC652071, NACA, NACA, RPL11, RPL11, RPL3, RPL30, RPL32, RPL38, RPL38, RPL39, RPL6, RPLP1, RPLP2, RPS10, RPS11, RPS17, RPS19, RPS24, RPS25, RPS27A, RPS29, RPS29"
M13.29,A2,Protein modification,"ABCF1, AKR7A3, ARL6IP4, BCL2L12, BRPF1, C12ORF44, C14ORF130, C16ORF24, C1ORF86, C20ORF4, CISH, COBRA1, COPS6, CRELD1, DHX30, DPM3, ERCC3, FLJ20699, GMPPA, GPR172A, GTF2F1, H1FX, HMGA1, HSD17B10, KIAA1967, LOC731314, MCM5, MGC33556, MIB2, MPV17, MRPS5, NCBP1, NDUFA10, NFATC3, ORAI1, P2RX4, PBXIP1, PHF1, PITRM1, POLA2, PTPN7, PYGB, RCN1, RNF121, SAC3D1, SEPN1, SH3BP1, SLC25A1, SLC35A4, SLC35B2, SLC35C2, SNRPA, SSBP4, TERF2, TESK1, TMEM39B, TMEM63A, TRIM26, TSSC1, WDR46, YEATS2, ZFPM1, ZFYVE19, ZNF263, ZNF324"
M13.30,A37,Erythrocytes,"ABCC13, ADIPOR1, ARL4A, BLVRB, BOAT, C16ORF35, CARM1, CES3, CSDA, FBXO9, FIS1, FKBP8, FLJ20489, GLUL, GSPT1, GUK1, GYPC, GYPC, HAGH, HBM, HBQ1, HPS1, HPS1, PBX1, PTMS, SHARPIN, SLC25A39, ST6GALNAC4, ST6GALNAC4, TMEM86B, UBL7, UBXD1"
M13.31,A25,TBD,"ACTG1, ANXA2, ATG4B, CCM2, CD68, CNN2, CXCR4, DYRK1A, EIF4G2, FBXO7, GTF2IP1, HM13, LOC399942, LOC643446, LOC647195, LOC648024, LOC653994, PGAM1, PLEKHB2, PSMC4, PSMC4, PSMC4, RASSF5, SLC39A3, TSC22D3, VRK3, WDR1"
M13.32,A27,Cell cycle,"ASPM, AURKB, BIRC5, BUB1, C12ORF48, CCNA2, CCNE1, CCNE2, CDC2, CDC45L, CDKN3, CENPE, CEP55, CHEK1, DLG7, HMMR, HMMR, KIF11, KIF11, KIF14, KIFC1, MCM10, MCM4, MELK, NCAPG, NUSAP1, OIP5, POLQ, RAD51AP1, RRM2, TK1, ZWINT"
M14.1,A32,Gene transcription,"ACAD8, ACADVL, AGXT2L2, ANKFY1, APBB3, ARHGEF1, ASB8, BRD3, BRD8, C10ORF97, C14ORF131, CDK7, CLDN15, DAGLB, DGAT1, DIAPH1, ERICH1, IER5, IMPA1, IQGAP2, LOC644799, NADSYN1, NBPF3, NOL12, NUP50, PIGB, PLAGL2, PRKCZ, RIPK3, SLC46A2, SNX14, STIM1, STK19, SULT1A4, TBC1D2B, TNPO3, TNS3, TRIM41, TTC32, UBE4B, USF2, USF2, USP34, YTHDF3, ZEB2"
M14.2,A2,Protein synthesis,"AGL, ATP5SL, ATPBD1B, BRD7, BRI3BP, C14ORF106, C16ORF63, C1ORF131, C2ORF30, CBFB, CRELD2, DSTN, EIF2B2, FAM116A, FRYL, GBAS, GTF3C2, HAT1, IMMT, ING3, ITGAE, ITGB1BP1, KLHL24, LOC219854, MRPS15, NCK1, PITPNC1, PLOD3, PRPF4, PTRH2, RBM17, RBM42, RNGTT, RY1, SIRT1, SMARCC2, SRP19, SS18, TMUB1, TNFSF12, UQCRH, USP42, YTHDF2, ZDHHC6"
M14.3,A2,Protein modification,"ADD3, AP1G2, BBX, C14ORF32, CKAP5, COBRA1, DCTN5, DDX56, DNAL4, EFTUD2, FAM133B, FAM53B, GOLGA3, HDAC3, HS.294603, LARP7, LMF2, MGAT2, MTDH, PILRB, PTPN11, PYCR2, RABEP1, RARS, RASSF1, RBM15, SAFB2, SDHA, SMARCD1, STARD7, SUPT16H, TCF20, TDG, TRRAP, TUFM, USP1, WDR59, XYLT2, ZFR"
M14.4,A1,Gene transcription,"ACO1, ALKBH3, APOBEC3F, ARV1, BBS2, BCL7C, C21ORF59, CXORF40B, DDX50, DYRK4, ELP2, EXOSC7, GSPT2, LAX1, LLGL1, LONP1, MDC1, MLLT11, MRPS9, MTERFD1, NET1, NOL8, NSUN4, PIH1D1, POLR1C, PRKCA, QDPR, RNASEH1, RNASEN, SP4, TBRG4, TCEAL3, UNG, UPF3A, UPRT, VPS45, ZNF211, ZNF644"
M14.5,A1,Gene transcription,"BANF1, BOLA2, C22ORF16, C2ORF28, C8ORF59, C9ORF142, CCT8, CUTA, EIF3D, EIF3I, EIF3M, GIMAP2, HMGN1, HMGN4, HS.572219, LOC642934, LOC646849, MARCKSL1, MRFAP1L1, NDUFS3, NDUFS8, NGRN, NME1-NME2, NUP62, PIGY, POLE3, PSMG2, RING1, RPA2, SAE1, SFRS10, THAP11, TMEM14C, TUBB, XRCC6, ZNF428"
M14.6,A3,TBD,"AFG3L1, AMT, CEP110, DFFB, DHX37, DNAH1, FLJ21865, GUSBL1, HEATR5B, HS.452445, ITPR1, LOC728499, LRP5L, MLLT10, NARG1L, NFATC3, NRBP2, NUMA1, ORAOV1, PDE3B, POLS, RBBP6, RBM26, SNRP70, SNX29, STX2, TSC22D2, TTC13, WDR19, ZCCHC11, ZNF767"
M14.7,A35,TBD,"BATF, CPEB3, DHRS12, ECGF1, FBXL5, FKBP15, FLJ40448, GADD45A, GPR108, IPO11, JAK2, LOC255809, MFN2, MLKL, NEU1, PDZD8, PGM2, PHTF1, POR, RAB1A, RIN3, RIT1, SLC24A4, SLC36A1, SLC40A1, SLC9A8, TBC1D8, TFE3, TMEM185B, UNC13D, WSB2"
M14.8,A2,TBD,"ACAA2, ASTE1, BLMH, BXDC5, C19ORF2, C6ORF190, CCT3, CNPY4, CRY1, GOLT1B, LOC124512, LOC644131, LTV1, MAPKAPK5, MBNL2, MRPL10, MRPL16, MRPL24, MTR, NNT, OCIAD2, P2RY10, RBBP7, SEPT11, SH3YL1, SLAIN1, TATDN1, TMEM106B, TTC27, UFSP2"
M14.9,A32,TBD,"ABCC5, ARID3B, C13ORF18, C13ORF18, C14ORF43, CD44, CIR, DDIT3, GTF2IP1, H2AFY, INTS3, KIAA0922, KRAS, MKNK2, NFYC, NSFL1C, NSFL1C, OSBPL11, PRKCB1, RAB5A, RBCK1, RSBN1L, SNN, SNX6, TMUB2, TOPBP1, TOR1A, TP53INP1, UBE4A"
M14.10,A26,TBD,"BRP44L, C14ORF156, C4ORF34, CCDC28A, CD37, COMMD7, DGUOK, LOC388789, NDUFB6, NUDT5, PAG1, PARK7, POLR2G, PSMB6, PTPN1, RHOC, SEC61G, SERPINB6, SLC44A1, SPCS2, SYF2, TM2D1, TMED10P, TMEM87A, VAMP5, VBP1, VKORC1, ZBED1"
M14.11,A32,TBD,"ABI1, C11ORF54, CLK4, CNOT4, COQ2, DNASE1L1, DPP8, EXOC1, FBP1, FBXL3, FEZ2, FHL3, HS.130036, HSD17B12, MAPK8IP3, MTMR4, PRDM8, PSMD1, PSMD12, PSME3, RAP1B, RUNDC1, SLC35E3, SLK, SLU7, STX6, SUSD1, TICAM2"
M14.12,A1,Cell cycle,"AFG3L2, ALG8, ASCC3, C3ORF31, C6ORF108, COQ10A, COX10, HS.20255, KIFAP3, LDLRAP1, LOC93622, M-RIP, MAF, MEF2C, MPHOSPH1, MTSS1, NAGPA, PAICS, PARP3, PKIA, PTPLAD1, SRP72, TIMM9, TMEM134, TMEM134, TMEM5, TRIT1"
M14.13,A2,Oxidative phosphorylation,"C20ORF20, CANX, CANX, CLEC16A, CLTA, CNOT7, COQ5, CRLS1, DDX42, FBXW7, HSD17B4, KIAA0494, LOC440280, MED20, MGC72104, MRPS31, PBX3, PIGC, PLRG1, PPIG, RALA, RIPK5, RNF5P1, USP39, ZMAT3, ZNF277, ZNF364"
M14.14,A6,Protein modification,"AKTIP, CDC40, DEK, DNAJA2, EFR3A, G3BP2, HNRPM, HSP90AA1, LPP, MAPRE2, MAT2A, MST4, NSL1, NUB1, PNRC2, POLB, PRNP, PUM1, RAB37, SFRS1, SIDT2, SNRK, SNX2, TMEM131, TROVE2, WDFY1, ZNF313"
M14.15,A6,Protein modification,"ARRB1, ARRB1, AUP1, BRD7, C14ORF108, DHPS, DPP9, DYNC1H1, FBXO28, FBXO46, FLJ39639, KATNA1, KLF11, NUP133, PFKP, PPFIBP2, PTPN22, PTPRA, SEC24B, SLC25A46, TATDN3, TM9SF3, TTC31, UBAP2L, VAMP2, ZNF271"
M14.16,A24,TBD,"C17ORF49, C1ORF59, CD99L2, CLTA, COMT, CYC1, DBNDD2, DHRS1, ERH, FAM50A, FKBP11, GUSB, HERPUD1, HPRT1, ITGB4BP, KLHDC3, PIN1, POLE4, PPP2R5C, PSMC6, RPS29, STX4, SYT11, TBCB, TMEM173, UBLCP1"
M14.17,A2,Gene transcription,"CABIN1, CHM, CSNK2A2, CWF19L2, ETFDH, EXOSC10, FAM108B1, FAM98A, FLJ10769, GTF3C3, HIBCH, IQCB1, ISG20L1, KBTBD8, KLHDC5, ORC3L, POLG, PRKX, PSMA2, RASSF1, SDF4, SLC30A9, SNX5, TNRC6A, TWSG1, ZNF419"
M14.18,A32,TBD,"AKT1, AKT1, CPNE3, CTDSP1, CTSC, ENY2, FEZ2, GLB1, GPR65, HBP1, JARID2, KIAA1267, NCK2, NFE2L2, P4HB, PHIP, REEP5, RPS6KA5, SH2B3, SH2D3C, SLC38A2, SMS, SSR1, TPP1, TWF2, YY1"
M14.19,A33,Inflammation,"ACOX1, ARRB2, C9ORF164, FRAT1, FRAT1, GAB2, HCG27, IFRD1, IL17RA, JUNB, LPPR2, LTBR, MAN2A2, MOSC1, PHC2, RAB24, RAB24, RERE, RGL2, RNF19B, SBNO2, SLC16A5, SLCO3A1, SLCO3A1, TREML2, WWC3"
M14.20,A1,Gene transcription,"ACTL6A, APOA1BP, COG2, CRYZ, CYP20A1, FLNB, FTSJ1, GPX7, HDDC3, HS.579530, LGTN, LOC642755, NDUFAF2, NOLA2, NPM3, RBM12, SCOC, SDCCAG10, SERF1B, SHPK, SIGIRR, SMARCE1, TCTEX1D2, THYN1"
M14.21,A26,TBD,"AMY1A, C18ORF21, C7ORF28A, CLIC4, DR1, EXOSC3, GARS, ISY1, LOC646900, LOC654121, MAD2L1BP, MCM6, MED4, MRPL44, MT1F, PPA2, PPP2CB, RPL34, RTCD1, SEC23B, SEC23B, SNTB1, TMED7, ZFAND6"
M14.22,A32,TBD,"ADAM19, BTN2A1, C14ORF159, CCM2, CD68, CXCR4, EGLN2, FAM39E, FAM46A, GAK, GLIPR1, HGS, LOC389541, NDE1, PAK2, PSCDBP, RBM23, RBM23, SLC44A2, TAPBP, TCF25, TMEM43, TNK2, WTAP"
M14.23,A1,Gene transcription,"BTF3L4, CKS2, COPZ1, DBT, GIMAP2, GNL3, IMPDH2, KARS, LOC728492, MGMT, NACAP1, NUDT2, PCCB, PEX16, PHPT1, POLR2I, PRPSAP2, RBM34, RPL23A, SIRPG, UBE2E2, UQCRC2, UTP3, VIPR1"
M14.24,A33,Inflammation,"ABCA7, ACVR1B, CBL, CCNY, CIDEB, CSNK1D, CTNNA1, GRB2, GSK3B, HMGCR, HSPBAP1, LOC644330, MBOAT1, MBOAT5, NLRP3, PSTPIP1, RAB2A, RBPJ, SHOC2, SNX11, TMEM8, TPST2, ZNF319"
M14.25,A2,TBD,"ALG3, C12ORF52, CD81, CENPB, DGCR6, DGCR6, DPP7, FASN, FKBP2, GNL1, HADH2, IL12RB1, ITPA, KRTCAP2, LOC391811, MRPS12, NSDHL, PDXP, PPM1G, TMED3, TMEM141, YIF1A, ZNF668"
M14.26,A33,Inflammation,"ATP6V1A, BAZ2B, C3ORF62, CMTM6, DHX34, HS.413494, HS.537004, IDS, KIAA1434, NCOA1, OSBPL2, PLXDC2, RASSF2, RFWD2, RFWD2, SEC14L1, SLC15A4, ST8SIA4, STXBP5, TMEM188, TMEM49, UBR2, ZFYVE16"
M14.27,A25,Protein synthesis,"ACTB, C10ORF26, C1ORF43, C7ORF28A, C7ORF28B, CCR2, DNAJB6, DUSP22, G3BP2, GIT2, GIT2, LOC644774, LOC732007, MAD2L1BP, P704P, PGAM1, PGAM4, PGAM4, PSMB8, TRIM5, VCL, YME1L1, ZC3HAV1"
